,b1,b2,error,s,significance,vor_point,vor_region,total_sig,lag_sig,update,vor_label
639,0.00289886677638,0.0,0.15,0.000774510437623,0.00450291208537,446,365,2.49169106141,2.49168748541,1.0,91
640,0.00744711316656,0.0,0.15,0.000791770755313,0.00444063839998,132,266,2.49169106141,2.49169106141,0.0,92
641,0.000185334603884,0.0,0.15,0.00162413553335,0.0044385564321,385,373,2.49171608021,2.49169106141,1.0,92
642,0.00634230967261,0.0,0.15,0.000767873367295,0.00436856382102,448,550,2.49172259123,2.49171608021,1.0,92
643,0.000239738612436,0.0,0.15,0.00134432932828,0.00434427212583,523,730,2.49174867539,2.49172259123,1.0,92
644,0.000432676868513,0.0,0.15,0.00100407167338,0.00428831181902,280,873,2.49174867539,2.49174867539,0.0,93
645,0.00178391928785,0.0,0.15,0.000746311387047,0.00426458114028,527,11,2.4917581451,2.49174867539,1.0,93
646,0.00550968491007,0.0,0.15,0.000741210882552,0.00426149094135,515,856,2.49177288438,2.4917581451,1.0,93
647,0.00271448667627,0.0,0.15,0.000729473948013,0.00425380227272,722,908,2.49178830151,2.49177288438,1.0,93
648,0.00718873529695,0.0,0.15,0.000753071741201,0.00424327674553,703,273,2.49180987256,2.49178830151,1.0,93
649,0.00536129821557,0.0,0.15,0.000734836561605,0.00423277361301,779,169,2.49183299972,2.49180987256,1.0,93
650,0.000273920682957,0.0,0.15,0.001192742493,0.00420809936371,617,347,2.49187989699,2.49183299972,1.0,93
651,0.00794543186202,0.0,0.15,0.000744117191061,0.00415410991991,337,463,2.49187989699,2.49187989699,0.0,94
652,0.00241301197093,0.0,0.15,0.000710659020115,0.00413958132901,479,866,2.49188498391,2.49187989699,1.0,94
653,0.0102932944428,0.0,0.15,0.000763391959481,0.00413081268229,334,137,2.49188905234,2.49188498391,1.0,94
654,0.00019642393454,0.0,0.15,0.00137888186146,0.00410410286905,588,39,2.49191147172,2.49188905234,1.0,94
655,0.000284887151793,0.0,0.15,0.00112494523637,0.0040997742846,445,753,2.49191308273,2.49191147172,1.0,94
656,0.00370443053543,0.0,0.15,0.000692061905283,0.00405022505748,258,337,2.49191308273,2.49191308273,0.0,95
657,0.00771752302535,0.0,0.15,0.000720130803529,0.00403538095628,17,888,2.49191756973,2.49191308273,1.0,95
658,0.000601384788752,0.0,0.15,0.000833970145322,0.00403431686346,320,386,2.49193187868,2.49191756973,1.0,95
659,0.00220646303933,0.0,0.15,0.000687389052473,0.00400195369142,20,17,2.49194016235,2.49193187868,1.0,95
660,0.021652176019,0.0,0.15,0.000845571281388,0.00398530553631,49,25,2.49194016235,2.49194016235,0.0,96
661,0.0174360600504,0.054334320128,0.192740747053,0.00130012247246,0.00392358774571,19,15,2.49194161065,2.49194016235,1.0,96
662,0.038103254039,0.0,0.15,0.000965345476288,0.00389888473533,168,7,2.49194924198,2.49194161065,1.0,96
663,0.00228196126409,0.00765993492678,0.195670413019,0.000875233439729,0.00388509614872,615,680,2.49195485755,2.49194924198,1.0,96
664,0.000169938226463,0.0,0.15,0.00137260276824,0.00387330572861,505,151,2.49195485755,2.49195485755,0.0,97
665,0.000123825171613,0.0,0.15,0.00168587523513,0.00385397642691,702,76,2.49196104974,2.49195485755,1.0,97
666,0.00180144712795,0.00743858097121,0.20337327086,0.000879357510712,0.00380189009773,250,297,2.4919978098,2.49196104974,1.0,97
667,0.00312568154186,0.104147210717,0.242754932468,0.00153069000226,0.0037426164959,301,535,2.4919978098,2.4919978098,0.0,98
668,0.00692048765268,0.0,0.15,0.000659217243083,0.00374063817527,125,453,2.49199792798,2.4919978098,1.0,98
669,0.00757030246313,0.0102146789432,0.1571416656,0.000777835142799,0.00373138998644,174,456,2.49199792798,2.49199792798,0.0,99
670,0.00691129337975,0.0499091669917,0.220348184642,0.00121246045455,0.00371587225969,130,801,2.4919991316,2.49199792798,1.0,99
671,0.00015711276501,0.0,0.15,0.00134253804572,0.00370687231288,286,459,2.49202503602,2.4919991316,1.0,99
672,0.00325459439773,0.0654843971133,0.23826908492,0.00131764728576,0.00370216268138,288,588,2.49202503602,2.49202503602,0.0,100
673,0.000127092600451,0.0,0.15,0.00153115973808,0.00368304373489,922,422,2.49203229234,2.49202503602,1.0,100
674,0.000157826943905,0.0,0.15,0.0013093148591,0.00365713130475,538,568,2.49203450829,2.49203229234,1.0,100
