,b1,b2,bin_region,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,x_center,y_center,total_sig,lag_sig,update,bin_label
12,0.125538260463,0.0503377299756,54,88.0,2.0,62.0,0.128776664851,0.0678729243306,0.145331910228,0.000253650385496,0.00142177197267,0.000107276645592,0.120604338742,0.0546758815301,1.16829035832,1.16829035832,0.0,3
13,0.133850686087,0.0891538275173,33,100.0,3.0,68.0,0.134517863642,0.0745265304785,0.143754337194,0.000254616191527,0.0069592371305,0.000108430824809,-0.0525759029549,-0.032930003101,1.16906313184,1.16829035832,1.0,3
14,0.0,0.0,19,0.0,0.0,1.0,0.0,0.00159841659479,0.14283634087,0.0,0.0,2.55493569057e-06,-0.27702637735,0.754692879226,1.16906313184,1.16906313184,0.0,4
15,0.150680482514,0.00628438172862,25,118.0,1.0,68.0,0.144341926392,0.0630005904076,0.139768307592,0.000271379689509,3.94934540964e-05,8.41827338188e-05,-0.15211605327,0.142155178211,1.16906313184,1.16906313184,0.0,5
16,0.0955046288345,0.0459118932486,66,72.0,1.0,69.0,0.129806091428,0.0573265719536,0.134809215563,0.000183483720106,0.00210790196434,7.48115615962e-05,0.212419064368,0.235259431384,1.17022860055,1.16906313184,1.0,5
17,0.0970731163607,0.0,77,77.0,0.0,62.0,0.15,0.0502164500525,0.132856831303,0.000189166487553,0.0,6.25294685211e-05,0.312318569246,0.334721279405,1.17173187672,1.17022860055,1.0,5
18,0.0966026943656,0.0621919268742,87,70.0,3.0,63.0,0.133842736981,0.0591437693693,0.132309581056,0.000196152631808,0.00134468938631,7.82467225142e-05,0.444075778763,0.334721279405,1.17272213212,1.17173187672,1.0,5
19,0.125309279148,0.0108912594151,75,93.0,3.0,63.0,0.139445698907,0.0525429583203,0.124822243353,0.000234977817516,6.8706706168e-05,6.4985864686e-05,0.312318569246,0.142155178211,1.17376146061,1.17272213212,1.0,5
20,0.115641281257,0.00273711234331,65,84.0,1.0,53.0,0.146645711461,0.0496219801871,0.123498815656,0.000226341911495,7.49178389015e-06,6.37944115373e-05,0.212419064368,0.142155178211,1.17505208418,1.17376146061,1.0,5
21,0.114816023729,0.0741235789169,45,76.0,5.0,67.0,0.133896359297,0.0589382656208,0.123070270736,0.000230500108441,0.00412747204446,7.33602010813e-05,0.035678849219,0.142155178211,1.17540747297,1.17505208418,1.0,5
