,b1,b2,bin_region,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,x_center,x_highedge,x_lowedge,y_center,y_highedge,y_lowedge,total_sig,lag_sig,update,bin_label
18,0.940196990366,0.766097557817,56,714.0,21.0,620.0,0.139393536993,0.554338062612,0.401526675885,0.00180149452977,0.0881136423532,0.000746669858361,0.133653653989,0.177281261235,0.0900260467431,0.244664098031,0.29038178821,0.198946407852,3.41982344342,3.41975519626,1.0,8
19,0.996621064949,0.236346731045,65,748.0,17.0,504.0,0.130373649502,0.460957685956,0.389627550717,0.00191673751034,0.0083003562777,0.00066678838474,0.224355764453,0.271430267671,0.177281261235,0.154231338472,0.198946407852,0.109516269092,3.42013514789,3.41982344342,1.0,8
20,1.06629489936,0.649413937819,46,839.0,21.0,599.0,0.132834467761,0.522503294666,0.378731410157,0.0020347214536,0.0319772451974,0.000710963819144,0.0461967432876,0.0900260467431,0.00236743983205,0.244664098031,0.29038178821,0.198946407852,3.42013514789,3.42013514789,0.0,9
21,0.901732519748,0.552146199101,76,665.0,18.0,524.0,0.132926996305,0.482012429406,0.377726219511,0.00171272885656,0.0354439383826,0.000658304864395,0.3264805297,0.38153079173,0.271430267671,0.244664098031,0.29038178821,0.198946407852,3.42033055531,3.42013514789,1.0,9
22,1.04303356503,0.240092160786,75,758.0,16.0,492.0,0.130598032308,0.450180421282,0.37428624464,0.00197579319273,0.0211382241201,0.000639421891817,0.3264805297,0.38153079173,0.271430267671,0.154231338472,0.198946407852,0.109516269092,3.42051356105,3.42033055531,1.0,9
23,0.903418164258,0.295796955121,86,643.0,10.0,492.0,0.128731511006,0.428184681686,0.367822402959,0.00176697527055,0.0343910202007,0.000600011263933,0.456521421985,0.531512052241,0.38153079173,0.244664098031,0.29038178821,0.198946407852,3.42071426207,3.42051356105,1.0,9
24,1.13744010913,0.898657772224,45,861.0,37.0,609.0,0.138552401567,0.542358645579,0.363000552144,0.00217550651769,0.0862604597071,0.000732226628787,0.0461967432876,0.0900260467431,0.00236743983205,0.154231338472,0.198946407852,0.109516269092,3.42071426207,3.42071426207,0.0,10
25,1.41432613609,0.970309809635,25,1084.0,58.0,687.0,0.135139784967,0.580223308287,0.360379635308,0.00266529248267,0.0449409808044,0.000791986359051,-0.146816483936,-0.092545973315,-0.201086994558,0.154231338472,0.198946407852,0.109516269092,3.42082490786,3.42071426207,1.0,10
26,1.45501418665,0.848903687983,34,1100.0,55.0,608.0,0.13213308338,0.553593845537,0.34998043397,0.00277854909247,0.0689745110224,0.000745298286722,-0.0450892667415,0.00236743983205,-0.092545973315,0.0633633072098,0.109516269092,0.0172103453271,3.42094835705,3.42082490786,1.0,10
27,0.7125542685,0.835947029927,37,540.0,30.0,545.0,0.151587063054,0.457560727135,0.348693790328,0.00138069040007,0.0675874310538,0.000628935754749,-0.0450892667415,0.00236743983205,-0.092545973315,0.340482900753,0.390584013296,0.29038178821,3.42094835705,3.42094835705,0.0,11
28,0.991698984844,1.00451590269,26,815.0,41.0,576.0,0.146216579842,0.512490070757,0.346661959394,0.00182035615653,0.0685548485075,0.000688221885713,-0.146816483936,-0.092545973315,-0.201086994558,0.244664098031,0.29038178821,0.198946407852,3.42105063567,3.42094835705,1.0,11
29,1.18177624647,1.02269580899,35,928.0,47.0,600.0,0.141129040597,0.518551213002,0.335125530679,0.00222885417535,0.051732241459,0.000676482791435,-0.0450892667415,0.00236743983205,-0.092545973315,0.154231338472,0.198946407852,0.109516269092,3.42105063567,3.42105063567,0.0,12
30,0.709272656739,0.569072764789,16,614.0,41.0,455.0,0.138968124305,0.391151158179,0.327539117236,0.00129143424332,0.0205135278155,0.000526111785922,-0.276505993336,-0.201086994558,-0.351924992114,0.244664098031,0.29038178821,0.198946407852,3.42105063567,3.42105063567,0.0,13
31,1.73473736859,0.907961767518,33,1297.0,44.0,594.0,0.130663032831,0.543099234382,0.322413418049,0.00332590981396,0.0537334919647,0.000744258680116,-0.0450892667415,0.00236743983205,-0.092545973315,-0.0290709175756,0.0172103453271,-0.0753521804784,3.42105063567,3.42105063567,0.0,14
32,1.71089665133,1.71888445908,24,1259.0,72.0,711.0,0.145933869858,0.608051286794,0.318236338186,0.00330902915037,0.096541294361,0.000823309641184,-0.146816483936,-0.092545973315,-0.201086994558,0.0633633072098,0.109516269092,0.0172103453271,3.42105063567,3.42105063567,0.0,15
33,1.82408721773,1.78624049049,14,1384.0,85.0,702.0,0.145060942585,0.619760064386,0.316480794931,0.00350797232433,0.116380236719,0.000833941750891,-0.276505993336,-0.201086994558,-0.351924992114,0.0633633072098,0.109516269092,0.0172103453271,3.42113718699,3.42105063567,1.0,15
34,0.177632953143,0.403038924851,59,161.0,7.0,313.0,0.179487260802,0.261387764531,0.311474033592,0.000332519130006,0.0595201922523,0.000362779862515,0.133653653989,0.177281261235,0.0900260467431,0.755734714049,1.0,0.511469428097,3.42113718699,3.42113718699,0.0,16
35,1.28997719235,0.802588510676,54,914.0,32.0,507.0,0.133208504866,0.467711782157,0.310870562478,0.00253346274587,0.048942332385,0.000624837801356,0.133653653989,0.177281261235,0.0900260467431,0.0633633072098,0.109516269092,0.0172103453271,3.42113718699,3.42113718699,0.0,17
36,0.749497027052,0.421239235555,96,512.0,8.0,381.0,0.13157841162,0.354539234341,0.310417030135,0.0014461620898,0.0411097840147,0.00052064310049,0.76575602612,1.0,0.531512052241,0.244664098031,0.29038178821,0.198946407852,3.42113718699,3.42113718699,0.0,18
37,1.16333935257,0.616966614058,64,829.0,26.0,443.0,0.130818573112,0.431772561516,0.3100847813,0.00226291568768,0.0434703680809,0.00059429943267,0.224355764453,0.271430267671,0.177281261235,0.0633633072098,0.109516269092,0.0172103453271,3.42113718699,3.42113718699,0.0,19
38,1.14280105157,0.913057821603,55,840.0,32.0,530.0,0.138853750052,0.457058480738,0.30639721979,0.002208920574,0.0707442073352,0.000619221348702,0.133653653989,0.177281261235,0.0900260467431,0.154231338472,0.198946407852,0.109516269092,3.42123337767,3.42113718699,1.0,19
39,0.57009144021,0.674389133069,27,473.0,25.0,435.0,0.151905958936,0.356941253199,0.303199162084,0.00107039844139,0.0628624263012,0.000464851130693,-0.146816483936,-0.092545973315,-0.201086994558,0.340482900753,0.390584013296,0.29038178821,3.42123337767,3.42123337767,0.0,20
40,1.23625241302,1.89992211221,15,985.0,70.0,639.0,0.162585268193,0.549719191774,0.300613791635,0.00233834419077,0.163875917301,0.000747722908872,-0.276505993336,-0.201086994558,-0.351924992114,0.154231338472,0.198946407852,0.109516269092,3.42123337767,3.42123337767,0.0,21
41,1.3916288191,0.892411552394,44,1049.0,32.0,511.0,0.133767703321,0.461785573855,0.294811868885,0.0026695398817,0.069925852647,0.000643987520225,0.0461967432876,0.0900260467431,0.00236743983205,0.0633633072098,0.109516269092,0.0172103453271,3.42123337767,3.42123337767,0.0,22
42,0.882312517041,0.285410352051,85,637.0,8.0,365.0,0.128759892052,0.328372115353,0.288855989867,0.00165019251602,0.0225860962316,0.00046193214002,0.456521421985,0.531512052241,0.38153079173,0.154231338472,0.198946407852,0.109516269092,3.42123337767,3.42123337767,0.0,23
43,2.80467701097,2.31227422807,12,2025.0,121.0,747.0,0.139721809269,0.666657070672,0.288063918761,0.00540679056315,0.11717121201,0.000891117395712,-0.276505993336,-0.201086994558,-0.351924992114,-0.124446985977,-0.0753521804784,-0.173541791476,3.42123337767,3.42123337767,0.0,24
